,incidents
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,5
2020-03-07,10
2020-03-08,8
2020-03-09,8
2020-03-10,20
2020-03-11,27
2020-03-12,24
2020-03-13,34
2020-03-14,32
2020-03-15,25
2020-03-16,45
2020-03-17,21
2020-03-18,23
2020-03-19,16
2020-03-20,28
2020-03-21,29
2020-03-22,22
2020-03-23,17
2020-03-24,12
2020-03-25,14
2020-03-26,9
2020-03-27,10
2020-03-28,12
2020-03-29,4
2020-03-30,16
2020-03-31,11
2020-04-01,5
2020-04-02,7
2020-04-03,10
2020-04-04,9
2020-04-05,11
2020-04-06,5
2020-04-07,10
2020-04-08,7
2020-04-09,2
2020-04-10,2
2020-04-11,6
2020-04-12,5
2020-04-13,1
2020-04-14,4
2020-04-15,6
2020-04-16,5
2020-04-17,2
2020-04-18,3
2020-04-19,3
2020-04-20,1
2020-04-21,4
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,2
2020-04-26,0
2020-04-27,1
2020-04-28,0
2020-04-29,0
2020-04-30,2
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,1
2020-05-05,0
2020-05-06,2
2020-05-07,0
2020-05-08,0
2020-05-09,1
2020-05-10,4
2020-05-11,1
2020-05-12,2
2020-05-13,3
2020-05-14,1
2020-05-15,14
2020-05-16,7
2020-05-17,0
2020-05-18,3
2020-05-19,4
2020-05-20,4
2020-05-21,2
2020-05-22,3
2020-05-23,2
2020-05-24,1
2020-05-25,7
2020-05-26,8
2020-05-27,15
2020-05-28,4
2020-05-29,3
2020-05-30,3
2020-05-31,2
2020-06-01,2
2020-06-02,4
2020-06-03,3
2020-06-04,4
2020-06-05,9
2020-06-06,7
2020-06-07,13
2020-06-08,14
2020-06-09,24
2020-06-10,9
2020-06-11,10
2020-06-12,17
2020-06-13,16
2020-06-14,9
2020-06-15,49
2020-06-16,482
2020-06-17,142
2020-06-18,70
2020-06-19,164
2020-06-20,49
2020-06-21,110
2020-06-22,141
2020-06-23,69
2020-06-24,37
2020-06-25,59
2020-06-26,46
2020-06-27,40
2020-06-28,36
2020-06-29,80
2020-06-30,54
2020-07-01,18
2020-07-02,15
2020-07-03,7
2020-07-04,9
2020-07-05,5
2020-07-06,5
2020-07-07,16
2020-07-08,22
2020-07-09,8
2020-07-10,12
2020-07-11,8
2020-07-12,7
2020-07-13,2
2020-07-14,3
2020-07-15,11
2020-07-16,6
2020-07-17,7
2020-07-18,3
2020-07-19,10
2020-07-20,1
2020-07-21,5
2020-07-22,7
2020-07-23,4
2020-07-24,6
2020-07-25,5
2020-07-26,3
2020-07-27,5
2020-07-28,4
2020-07-29,2
2020-07-30,5
2020-07-31,10
2020-08-01,6
2020-08-02,7
2020-08-03,8
2020-08-04,6
2020-08-05,14
2020-08-06,13
2020-08-07,14
2020-08-08,11
2020-08-09,6
2020-08-10,13
2020-08-11,9
2020-08-12,9
2020-08-13,27
2020-08-14,6
2020-08-15,6
2020-08-16,3
2020-08-17,10
2020-08-18,3
2020-08-19,7
2020-08-20,7
2020-08-21,2
2020-08-22,8
2020-08-23,6
2020-08-24,4
2020-08-25,3
2020-08-26,3
2020-08-27,2
2020-08-28,10
2020-08-29,3
2020-08-30,0
2020-08-31,4
2020-09-01,8
2020-09-02,1
2020-09-03,12
2020-09-04,5
2020-09-05,6
2020-09-06,1
2020-09-07,3
2020-09-08,4
2020-09-09,4
2020-09-10,0
2020-09-11,6
2020-09-12,6
2020-09-13,1
2020-09-14,7
2020-09-15,5
2020-09-16,8
2020-09-17,4
2020-09-18,2
2020-09-19,5
2020-09-20,4
2020-09-21,9
2020-09-22,9
2020-09-23,11
2020-09-24,5
2020-09-25,4
2020-09-26,12
2020-09-27,5
2020-09-28,11
2020-09-29,13
2020-09-30,10
2020-10-01,10
2020-10-02,10
2020-10-03,20
2020-10-04,6
2020-10-05,8
2020-10-06,18
2020-10-07,18
2020-10-08,29
2020-10-09,21
2020-10-10,23
2020-10-11,11
2020-10-12,24
2020-10-13,28
2020-10-14,34
2020-10-15,44
2020-10-16,44
2020-10-17,30
2020-10-18,51
2020-10-19,47
2020-10-20,42
2020-10-21,71
2020-10-22,75
2020-10-23,67
2020-10-24,80
2020-10-25,41
2020-10-26,75
2020-10-27,114
2020-10-28,140
2020-10-29,133
2020-10-30,107
2020-10-31,79
2020-11-01,44
2020-11-02,149
2020-11-03,111
2020-11-04,112
2020-11-05,87
2020-11-06,76
2020-11-07,58
2020-11-08,93
2020-11-09,160
2020-11-10,114
2020-11-11,85
2020-11-12,120
2020-11-13,111
2020-11-14,77
2020-11-15,48
2020-11-16,121
2020-11-17,107
2020-11-18,125
2020-11-19,90
2020-11-20,86
2020-11-21,98
2020-11-22,82
2020-11-23,98
2020-11-24,129
2020-11-25,93
2020-11-26,50
2020-11-27,87
2020-11-28,92
2020-11-29,36
2020-11-30,128
2020-12-01,114
2020-12-02,88
2020-12-03,136
2020-12-04,120
2020-12-05,102
2020-12-06,56
2020-12-07,78
2020-12-08,87
2020-12-09,99
2020-12-10,104
2020-12-11,91
2020-12-12,120
2020-12-13,77
2020-12-14,80
2020-12-15,168
2020-12-16,144
2020-12-17,172
2020-12-18,142
2020-12-19,112
2020-12-20,85
2020-12-21,124
2020-12-22,134
2020-12-23,227
2020-12-24,178
2020-12-25,19
2020-12-26,30
2020-12-27,24
2020-12-28,89
2020-12-29,156
2020-12-30,214
2020-12-31,153
2021-01-01,59
2021-01-02,19
2021-01-03,40
2021-01-04,57
2021-01-05,167
2021-01-06,198
2021-01-07,90
2021-01-08,75
2021-01-09,71
2021-01-10,8
2021-01-11,26
2021-01-12,129
2021-01-13,37
2021-01-14,0
